team,country,maps_played,maps_won,maps_won%,atk_played,atk_won,atk_won%,def_played,def_won,def_won%,pistol_played,pistol_won,pistol_won%
Team Duelist,ae,33,20,60.61%,353,184,52.12%,342,180,52.63%,66,34,51.52%
Pittsburgh Knights,us,65,38,58.46%,634,324,51.1%,652,365,55.98%,126,71,56.35%
Archons,ca,37,14,37.84%,382,178,46.6%,385,175,45.45%,74,30,40.54%
Able Esports,ca,31,14,45.16%,331,133,40.18%,295,161,54.58%,60,26,43.33%
Beşiktaş Esports,tr,27,16,59.26%,244,120,49.18%,298,185,62.08%,54,31,57.41%
Mustang Gaming Club,ma,28,16,57.14%,283,145,51.24%,253,142,56.13%,56,35,62.5%
Team Majesty,tn,29,15,51.72%,277,134,48.38%,290,155,53.45%,56,24,42.86%
Team Aurora,tr,34,22,64.71%,341,176,51.61%,321,198,61.68%,68,50,73.53%
Kingsmen,my,26,13,50%,281,141,50.18%,257,126,49.03%,52,24,46.15%
Border Monsters,co,33,20,60.61%,270,141,52.22%,359,202,56.27%,66,37,56.06%
Akave Esports,mx,38,20,52.63%,395,199,50.38%,386,206,53.37%,76,38,50%
Teal Seam,ca,74,46,62.16%,753,379,50.33%,789,453,57.41%,148,74,50%
YFP Gaming,ca,60,36,60%,607,302,49.75%,664,391,58.89%,120,73,60.83%
Ghost Gaming,ca,57,41,71.93%,553,340,61.48%,555,328,59.1%,114,69,60.53%
EDward Gaming,cn,44,33,75%,439,248,56.49%,471,287,60.93%,88,53,60.23%
Illuzion Orange,ca,35,17,48.57%,371,171,46.09%,338,175,51.78%,70,31,44.29%
KRÜ Esports,cl,29,19,65.52%,278,138,49.64%,302,192,63.58%,58,33,56.9%
Team Vitality,eu,30,12,40%,301,145,48.17%,331,172,51.96%,60,29,48.33%
KPI Gaming,ru,26,13,50%,265,137,51.7%,286,160,55.94%,52,28,53.85%
DWG KIA,kr,30,19,63.33%,310,158,50.97%,308,175,56.82%,60,32,53.33%
Team Weibo,cn,44,28,63.64%,489,262,53.58%,485,267,55.05%,88,51,57.95%
OG Esports,eu,27,15,55.56%,269,130,48.33%,308,189,61.36%,54,34,62.96%
Skull Cracker,latam,45,30,66.67%,453,256,56.51%,470,257,54.68%,90,48,53.33%
Hyperspace Dark,ca,46,30,65.22%,467,264,56.53%,470,255,54.26%,92,53,57.61%
Fenerbahçe Esports,tr,42,26,61.9%,448,248,55.36%,379,212,55.94%,82,42,51.22%
Version1,ca,57,43,75.44%,561,332,59.18%,587,365,62.18%,114,64,56.14%
19esports,es,38,27,71.05%,370,196,52.97%,403,236,58.56%,76,36,47.37%
Gamelanders Purple,br,29,19,65.52%,289,167,57.79%,272,134,49.26%,58,26,44.83%
Evil Geniuses,us,51,30,58.82%,513,263,51.27%,557,302,54.22%,100,52,52%
Ethereal,id,32,18,56.25%,348,191,54.89%,338,174,51.48%,64,34,53.13%
Enigma Gaming,in,65,46,70.77%,682,429,62.9%,585,321,54.87%,130,69,53.08%
Alter Ego Celestè,id,35,30,85.71%,319,201,63.01%,377,239,63.4%,70,50,71.43%
World Game Star,kr,30,17,56.67%,301,148,49.17%,339,173,51.03%,60,25,41.67%
Alliance,eu,44,30,68.18%,441,263,59.64%,459,256,55.77%,88,47,53.41%
Thunderbolts Gaming,tr,50,30,60%,506,279,55.14%,536,282,52.61%,100,59,59%
EZ KATKA,ru,31,21,67.74%,300,189,63%,311,183,58.84%,62,37,59.68%
Valkyrie,ca,46,22,47.83%,505,274,54.26%,450,206,45.78%,92,46,50%
Angry Titans,eu,34,21,61.76%,331,177,53.47%,343,197,57.43%,68,35,51.47%
MiTH,th,38,20,52.63%,415,210,50.6%,393,201,51.15%,76,37,48.68%
Reformed,ca,54,32,59.26%,538,264,49.07%,569,310,54.48%,108,63,58.33%
Soniqs,ca,44,30,68.18%,487,253,51.95%,400,241,60.25%,86,50,58.14%
The Goose House,gb,32,23,71.88%,338,195,57.69%,327,195,59.63%,64,40,62.5%
Bigetron Arctic,id,35,23,65.71%,357,200,56.02%,324,188,58.02%,70,38,54.29%
Team Basilisk,us,96,57,59.38%,959,501,52.24%,"1,012",578,57.11%,192,104,54.17%
Shopify Rebellion,us,60,35,58.33%,600,320,53.33%,608,331,54.44%,120,61,50.83%
Ovation eSports,de,34,20,58.82%,320,173,54.06%,374,195,52.14%,68,34,50%
Cosmic Divide,ca,99,59,59.6%,990,488,49.29%,"1,084",600,55.35%,198,105,53.03%
Team T69,in,26,9,34.62%,255,124,48.63%,276,121,43.84%,52,23,44.23%
EXCEL,eu,66,45,68.18%,715,398,55.66%,656,392,59.76%,132,78,59.09%
ownage,pl,53,36,67.92%,525,286,54.48%,586,330,56.31%,106,57,53.77%
LDN Utd,lt,36,25,69.44%,345,203,58.84%,388,209,53.87%,72,39,54.17%
CLG Red,us,40,21,52.5%,381,192,50.39%,414,199,48.07%,80,43,53.75%
TSM FTX X,ca,36,22,61.11%,345,198,57.39%,377,196,51.99%,72,42,58.33%
afterMath Esports,ca,45,22,48.89%,452,214,47.35%,484,257,53.1%,90,50,55.56%
Team 1337,ca,47,25,53.19%,503,278,55.27%,475,218,45.89%,94,55,58.51%
Ryze Gaming,latam,33,17,51.52%,350,180,51.43%,326,162,49.69%,66,36,54.55%
True Rippers,in,62,33,53.23%,654,321,49.08%,730,380,52.05%,124,64,51.61%
Só deus Sabe,latam,28,17,60.71%,271,147,54.24%,285,174,61.05%,56,28,50%
Salt Esports,pk,27,14,51.85%,260,147,56.54%,272,131,48.16%,54,29,53.7%
South Built Esports,ph,50,26,52%,563,279,49.56%,553,276,49.91%,100,52,52%
Alpha Esports Pro,ph,28,16,57.14%,277,132,47.65%,303,173,57.1%,56,27,48.21%
SoaR,ca,72,43,59.72%,676,395,58.43%,749,415,55.41%,144,78,54.17%
Fancy United Esports,vn,52,36,69.23%,508,298,58.66%,487,265,54.41%,98,53,54.08%
Nightblood Gaming,ca,54,25,46.3%,517,236,45.65%,531,264,49.72%,108,47,43.52%
Third Impact,ca,38,21,55.26%,390,196,50.26%,407,236,57.99%,76,49,64.47%
Rix.GG Lightning,eu,31,19,61.29%,296,177,59.8%,343,179,52.19%,62,38,61.29%
ValorsGG,ca,34,16,47.06%,361,165,45.71%,351,178,50.71%,68,33,48.53%
B4 Angels,br,42,26,61.9%,464,255,54.96%,382,202,52.88%,84,41,48.81%
Vireo.pro,us,53,26,49.06%,524,268,51.15%,556,290,52.16%,106,39,36.79%
Aspyre Entertainment,ca,104,58,55.77%,"1,035",506,48.89%,"1,044",532,50.96%,204,98,48.04%
Gen.G Black,us,28,14,50%,253,111,43.87%,303,171,56.44%,56,27,48.21%
Taipan Esports,ca,30,7,23.33%,300,121,40.33%,292,127,43.49%,58,23,39.66%
Fire Flux Esports,tr,47,31,65.96%,505,289,57.23%,506,277,54.74%,94,53,56.38%
Team Valor,in,48,25,52.08%,500,247,49.4%,543,289,53.22%,96,47,48.96%
Team Exploit,pk,33,21,63.64%,329,171,51.98%,329,176,53.5%,66,37,56.06%
CGN Esports,de,38,22,57.89%,405,215,53.09%,383,197,51.44%,76,42,55.26%
Anorthosis Famagusta Esports,gr,29,16,55.17%,284,141,49.65%,309,164,53.07%,58,28,48.28%
Surreal Esports,tr,72,50,69.44%,796,449,56.41%,768,427,55.6%,144,87,60.42%
47 Gaming,th,33,20,60.61%,370,199,53.78%,348,197,56.61%,66,38,57.58%
DarkZero Esports,ca,88,57,64.77%,930,550,59.14%,861,470,54.59%,176,92,52.27%
SCYTES Esports,ae,33,13,39.39%,340,146,42.94%,358,187,52.23%,66,30,45.45%
Natus Vincere,ru,38,23,60.53%,392,212,54.08%,417,208,49.88%,76,38,50%
Gringo Team,tr,26,17,65.38%,247,135,54.66%,259,151,58.3%,50,24,48%
Synergy,ca,42,22,52.38%,421,211,50.12%,434,236,54.38%,84,44,52.38%
Renegados,br,28,15,53.57%,299,153,51.17%,317,177,55.84%,56,32,57.14%
Kansas City Pioneers,us,63,41,65.08%,628,333,53.03%,622,361,58.04%,122,69,56.56%
Anonymo Mentos,pl,69,43,62.32%,724,384,53.04%,716,407,56.84%,138,74,53.62%
Action PH,ph,70,39,55.71%,742,374,50.4%,735,401,54.56%,140,78,55.71%
KONE,cn,40,26,65%,418,247,59.09%,431,230,53.36%,80,45,56.25%
Kowareta,ca,55,33,60%,564,307,54.43%,573,303,52.88%,110,60,54.55%
Team Mystic,ca,62,42,67.74%,588,303,51.53%,682,400,58.65%,124,73,58.87%
UGK Esports,ca,30,8,26.67%,306,118,38.56%,308,128,41.56%,60,24,40%
TSM FTX Academy,us,60,36,60%,614,319,51.95%,628,348,55.41%,120,71,59.17%
Vexed Gaming,gb,35,24,68.57%,323,184,56.97%,348,209,60.06%,70,38,54.29%
Rated Gaming,ca,66,27,40.91%,692,338,48.84%,690,321,46.52%,132,68,51.52%
TENSTAR Nova,fr,39,34,87.18%,441,299,67.8%,321,199,61.99%,78,53,67.95%
FS Esports,in,27,12,44.44%,277,122,44.04%,294,152,51.7%,54,26,48.15%
BEAST,id,29,16,55.17%,320,173,54.06%,318,160,50.31%,58,30,51.72%
Green Beans,ca,32,16,50%,342,168,49.12%,321,173,53.89%,64,37,57.81%
Team Big BAAM,vn,40,26,65%,373,222,59.52%,401,224,55.86%,80,45,56.25%
ZHUQUE,cn,45,25,55.56%,486,242,49.79%,481,266,55.3%,90,40,44.44%
Project A,us,28,17,60.71%,269,143,53.16%,299,163,54.52%,56,29,51.79%
Case Esports,es,40,29,72.5%,399,231,57.89%,413,247,59.81%,80,49,61.25%
NOM eSports,eu,35,22,62.86%,373,188,50.4%,370,214,57.84%,70,31,44.29%
Geekay Esports,ae,30,16,53.33%,293,160,54.61%,299,152,50.84%,60,30,50%
incognito,pl,39,24,61.54%,403,217,53.85%,400,236,59%,78,43,55.13%
Team Lixa,tr,43,24,55.81%,439,242,55.13%,452,237,52.43%,86,44,51.16%
Guild X,eu,39,27,69.23%,385,231,60%,427,237,55.5%,78,44,56.41%
Polaris,us,29,22,75.86%,278,167,60.07%,277,150,54.15%,58,35,60.34%
Complexity GX3,us,33,17,51.52%,383,203,53%,280,135,48.21%,66,30,45.45%
Supermassive Blaze Female,tr,26,18,69.23%,268,161,60.07%,262,149,56.87%,52,30,57.69%
G2 Gozen,eu,32,26,81.25%,329,214,65.05%,323,179,55.42%,64,42,65.63%
BBL Queens,tr,27,17,62.96%,272,162,59.56%,272,134,49.26%,54,24,44.44%
Bleed eSports,sg,33,19,57.58%,343,188,54.81%,344,174,50.58%,64,35,54.69%
Eternal Fire,tr,26,19,73.08%,272,151,55.51%,236,152,64.41%,52,26,50%
UP NEXT,ca,35,13,37.14%,376,181,48.14%,348,160,45.98%,68,23,33.82%
Radiance,us,41,23,56.1%,443,217,48.98%,452,255,56.42%,82,50,60.98%
Ahjin,us,29,13,44.83%,267,132,49.44%,306,152,49.67%,58,26,44.83%
Akrew,us,64,42,65.63%,588,323,54.93%,668,410,61.38%,128,70,54.69%
Knights Academy,ca,127,83,65.35%,"1,202",671,55.82%,"1,386",763,55.05%,254,139,54.72%
KOVA,fi,40,27,67.5%,382,223,58.38%,439,229,52.16%,80,43,53.75%
WATAHA,pl,44,26,59.09%,472,235,49.79%,482,281,58.3%,88,40,45.45%
IlluZion,ca,50,28,56%,540,257,47.59%,509,277,54.42%,100,51,51%
Team Reckaroo,us,87,50,57.47%,866,441,50.92%,905,496,54.81%,174,92,52.87%
Team Mystic Venus,ca,29,15,51.72%,307,148,48.21%,314,181,57.64%,58,33,56.9%
One Percent,ca,29,13,44.83%,308,149,48.38%,318,143,44.97%,58,25,43.1%
GunsForHire,ca,49,28,57.14%,483,249,51.55%,535,291,54.39%,98,52,53.06%
KRÜ Fem,latam,31,28,90.32%,252,180,71.43%,288,203,70.49%,62,44,70.97%
bait academy,us,75,49,65.33%,720,403,55.97%,819,470,57.39%,150,83,55.33%
The Guard,us,66,50,75.76%,643,364,56.61%,689,416,60.38%,132,83,62.88%
Run it Down,ca,101,58,57.43%,"1,061",567,53.44%,"1,054",535,50.76%,202,98,48.51%
Rebels Gaming,eu,39,22,56.41%,405,207,51.11%,412,224,54.37%,78,39,50%
AWARIA,pl,53,34,64.15%,615,352,57.24%,493,247,50.1%,106,61,57.55%
Tropinha do TIKTOK,br,31,22,70.97%,326,169,51.84%,329,195,59.27%,62,38,61.29%
Thanos Mug Academy,us,45,24,53.33%,453,236,52.1%,455,241,52.97%,90,52,57.78%
Tone Gaming,ca,36,20,55.56%,363,182,50.14%,402,205,51%,72,35,48.61%
MLC Esports,ma,28,26,92.86%,270,172,63.7%,307,192,62.54%,56,33,58.93%
AIMPUNCH.,us,38,19,50%,382,192,50.26%,367,185,50.41%,74,35,47.3%
Pampas,cl,34,27,79.41%,325,213,65.54%,331,203,61.33%,68,38,55.88%
Lenny Time,ca,76,40,52.63%,735,377,51.29%,771,389,50.45%,150,72,48%
Gamerland Outlaws,hu,30,15,50%,320,159,49.69%,312,171,54.81%,60,35,58.33%
ex-Flickbaiters,us,37,26,70.27%,387,211,54.52%,392,228,58.16%,74,44,59.46%
Kennesaw State University,ca,34,17,50%,366,172,46.99%,369,199,53.93%,68,32,47.06%
Hugh Jass Construction,ca,26,9,34.62%,295,137,46.44%,286,128,44.76%,52,23,44.23%
KPMOONIIBLM9,sg,32,16,50%,305,157,51.48%,299,164,54.85%,62,35,56.45%
