,agent,pick_rate,ACS,K/D
0,Jett,78.14%,232.8,1.1
1,Sova,76.00%,194.6,0.98
2,Astra,48.14%,186.6,0.99
3,Viper,42.67%,193.1,0.97
4,Killjoy,34.27%,197.4,1.0
5,Chamber,34.14%,214.6,1.09
6,Skye,30.47%,186.1,0.93
7,Sage,28.04%,178.2,0.9
8,KAY/O,25.84%,193.5,0.92
9,Raze,23.79%,236.1,1.05
10,Breach,19.83%,175.0,0.9
11,Cypher,15.63%,187.6,0.96
12,Reyna,15.12%,226.2,1.05
13,Omen,13.58%,186.5,0.95
14,Brimstone,10.64%,193.4,0.95
15,Neon,1.06%,218.9,0.98
16,Phoenix,0.45%,226.6,1.06
17,Yoru,0.34%,201.4,0.94
